,gameName,url,,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,,,,,,,,,,,,,,,,,
0,PLAYERUNKNOWN'S BATTLEGROUNDS,https://steamcdn-a.akamaihd.net/steam/apps/578080/header.jpg?t=1587582005,,590,1322,2031,2804,3570,4348,5473,5886,6289,6774,7292,7759,8267,8749,9250,9721,10207,10717,11209,11998,12460,12967,13467,14031,15365,16061,16645,17523,18022,,,,,,,,,,,,,,,,,
1,Alien: Isolation,https://steamcdn-a.akamaihd.net/steam/apps/214490/header.jpg?t=1587920608,,296,638,695,711,721,734,748,756,764,772,787,800,808,816,822,833,844,853,858,867,876,882,891,900,907,912,920,927,934,,,,,,,,,,,,,,,,,
2,æ— ä¸»ä¹‹åœ°3,https://steamcdn-a.akamaihd.net/steam/apps/397540/header.jpg?t=1587675179,,164,381,608,784,934,1075,1157,1267,1355,1476,1593,1694,1792,1913,2030,2170,2337,2500,2663,2808,2960,3137,3338,3582,3871,4114,4390,4685,5005,,,,,,,,,,,,,,,,,
3,Remnant: From the Ashes,https://steamcdn-a.akamaihd.net/steam/apps/617290/header.jpg?t=1586895275,,73,100,125,143,155,173,191,213,230,254,276,300,327,347,366,378,397,409,423,439,455,472,485,497,510,519,532,543,554,,,,,,,,,,,,,,,,,
5,Grand Theft Auto V,https://steamcdn-a.akamaihd.net/steam/apps/271590/header.jpg?t=1586539531,,624,1472,2232,3075,3933,4787,5645,6548,7422,8376,9293,10205,11206,12263,13230,14235,15221,16197,17179,18247,19368,20452,21590,22735,24220,25566,26905,28520,30642,,,,,,,,,,,,,,,,,
6,Total Warâ„? ROME II - Emperor Edition,https://steamcdn-a.akamaihd.net/steam/apps/214950/header.jpg?t=1588000236,,24,54,78,94,110,126,151,172,195,216,242,260,284,302,327,367,389,418,435,457,481,502,530,557,590,625,651,677,709,,,,,,,,,,,,,,,,,
7,Red Dead Redemption 2,https://steamcdn-a.akamaihd.net/steam/apps/1174180/header.jpg?t=1583253547,,121,276,457,596,736,862,1013,1165,1335,1475,1625,1767,1897,2030,2179,2343,2495,2655,2842,2998,3154,3314,3506,3696,3910,4147,4400,4587,4777,,,,,,,,,,,,,,,,,
8,MORDHAU,https://steamcdn-a.akamaihd.net/steam/apps/629760/header_alt_assets_0.jpg?t=1585244772,,48,97,152,197,245,295,342,402,452,500,558,615,665,720,772,831,892,968,1089,1132,1195,1244,1292,1362,1429,1488,1590,1700,1766,,,,,,,,,,,,,,,,,
9,Disco Elysium,https://steamcdn-a.akamaihd.net/steam/apps/632470/header.jpg?t=1588001802,,53,120,190,244,279,300,335,386,416,481,521,579,634,673,724,798,869,939,1011,1071,1142,1234,1331,1442,1571,1665,1763,1844,1952,,,,,,,,,,,,,,,,,
10,HYPERCHARGE: Unboxed,https://steamcdn-a.akamaihd.net/steam/apps/523660/header_alt_assets_0.jpg?t=1588039524,,54,62,64,66,71,74,75,78,79,81,81,82,82,83,83,83,83,83,83,83,83,83,83,83,84,84,86,86,86,,,,,,,,,,,,,,,,,
11,Green Hell,https://steamcdn-a.akamaihd.net/steam/apps/815370/header.jpg?t=1586347791,,53,123,212,298,374,442,555,673,777,897,1020,1139,1290,1464,1620,1829,2019,2211,2417,2595,2722,2802,2817,2832,2855,2863,2876,2886,2894,,,,,,,,,,,,,,,,,
12,Football Manager 2020,https://steamcdn-a.akamaihd.net/steam/apps/1100600/header.jpg?t=1584981392,,20,49,78,111,133,162,189,212,244,270,302,337,376,399,437,465,490,513,548,583,624,664,701,745,782,825,879,923,975,,,,,,,,,,,,,,,,,
13,Total War Saga: THRONES OF BRITANNIA,https://steamcdn-a.akamaihd.net/steam/apps/712100/header.jpg?t=1587999746,,6,13,21,25,30,35,39,43,47,48,55,59,62,67,72,74,77,84,86,91,93,99,102,111,117,122,126,131,139,,,,,,,,,,,,,,,,,
14,Tabletop Simulator,https://steamcdn-a.akamaihd.net/steam/apps/286160/header.jpg?t=1587678573,,31,88,161,224,284,354,416,464,508,598,675,757,820,879,945,1034,1112,1221,1338,1441,1538,1664,1780,1907,2024,2114,2168,2223,2268,,,,,,,,,,,,,,,,,
15,DOOM Eternal,https://steamcdn-a.akamaihd.net/steam/apps/782330/header.jpg?t=1585834350,,97,238,444,621,774,948,1144,1354,1562,1819,2057,2287,2534,2804,3065,3371,3737,4110,4486,4866,5228,5636,6125,6727,7394,8052,8724,9463,10386,,,,,,,,,,,,,,,,,
16,Total War: Shogun 2 - Blood Pack DLC,https://steamcdn-a.akamaihd.net/steam/apps/201272/header.jpg?t=1571754133,,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,
17,Half-Life: Alyx,https://steamcdn-a.akamaihd.net/steam/apps/546560/header.jpg?t=1584985275,,65,193,340,473,586,702,821,943,1068,1263,1469,1638,1789,1954,2144,2415,2723,3032,3305,3588,3836,4105,4468,4903,5386,5781,6266,6844,7510,,,,,,,,,,,,,,,,,
18,Phantom Doctrine,https://steamcdn-a.akamaihd.net/steam/apps/559100/header.jpg?t=1582018402,,1,5,5,5,5,5,7,8,9,12,16,16,18,20,22,23,26,26,26,26,26,27,31,33,33,34,34,35,35,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
